Site,Species,Breed,Pet_DOB,Gender,Neutered,Purchase_Price
PDSA,Dog,Pug,01/07/2020,Male,Yes,650
PDSA,Dog,Pug,01/07/2016,Male,No,0
PDSA,Dog,Retriever (Golden),01/10/2020,Female,Yes,3000
PDSA,Dog,Retriever (Labrador),01/06/2021,Female,Yes,3000
PDSA,Dog,Retriever (Labrador),01/06/2021,Male,No,0
PDSA,Dog,Retriever (Labrador),06/06/2020,Female,No,800
PDSA,Dog,Rhodesian Ridgeback,01/01/2021,Female,No,2995
PDSA,Dog,Shih Tzu,04/12/2014,Male,Yes,100
PDSA,Dog,Spaniel (English Springer),01/01/2021,Male,No,1200
PDSA,Dog,Spaniel (English Springer),21/02/2020,Female,No,950
PDSA,Dog,Staffordshire Bull Terrier,01/02/2021,Female,Yes,2000
PDSA,Dog,Staffordshire Bull Terrier,01/09/2016,Female,Yes,350
PDSA,Dog,West Highland White Terrier,29/01/2022,Male,No,2500
PDSA,Dog,West Highland White Terrier,01/10/2019,Male,Yes,1400
PDSA,Dog,A MEDIUM MONGREL (10 - 20KG),01/02/2020,Male,Yes,350
PDSA,Dog,A SMALL MONGREL (UP TO 10KG),15/10/2021,Female,No,1500
PDSA,Dog,Akita,01/10/2018,Male,Yes,200
PDSA,Dog,Akita,01/02/2017,Male,Yes,500
PDSA,Dog,Alsatian,05/08/2020,Male,No,1800
PDSA,Dog,Alsatian,01/01/2020,Male,Yes,205
PDSA,Dog,Alsatian,31/10/2014,Female,No,400
PDSA,Dog,American Water Spaniel,12/06/2019,Male,No,400
PDSA,Dog,Australian Shepherd Dog,01/03/2020,Male,Yes,1800
PDSA,Dog,Basenji,01/12/2019,Male,Yes,1200
PDSA,Dog,Basset Hound,01/05/2016,Male,Yes,200
PDSA,Dog,Beagle,27/04/2020,Male,No,2000
PDSA,Dog,Belgian Shepherd Dog (Malinois),01/12/2018,Female,Yes,500
PDSA,Dog,Bernese Mountain Dog,01/06/2021,Male,No,2300
PDSA,Dog,Border Terrier,01/02/2017,Female,No,550
PDSA,Dog,Border Terrier,01/03/2016,Male,No,800
PDSA,Dog,Boxer,01/07/2020,Male,Yes,450
PDSA,Dog,Cavalier King Charles Spaniel,01/04/2021,Female,Yes,1500
PDSA,Dog,Cockerpoo,01/05/2021,Male,No,2000
PDSA,Dog,Cockerpoo,01/06/2021,Male,Yes,150
PDSA,Dog,Collie (Rough),08/01/2018,Male,Yes,140
PDSA,Dog,Dachshund (Long-Haired),01/03/2019,Male,Yes,1500
PDSA,Dog,Dachshund (Min Long Hair),01/03/2018,Female,Yes,1195
PDSA,Dog,Dachshund (Min Smooth-Haired),01/10/2018,Female,Yes,2500
PDSA,Dog,Dachshund (Min Wire-Haired),01/01/2018,Female,Yes,750
