Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Pet Plan,Dog,Aberdeen Terrier,4,Male,Yes,Free,£32.09,£385.08 ,£110,4000
Pet Plan,Dog,Aberdeen Terrier,4,Male,Yes,Free,£41.64,£499.68 ,£110,7000
Pet Plan,Dog,Aberdeen Terrier,4,Male,Yes,Free,£56.78,£681.36 ,£110,4000
Pet Plan,Dog,Abyssinian Sand Terrier,4,Male,Yes,Free,£34.06,£408.72 ,£110,4000
Pet Plan,Dog,Abyssinian Sand Terrier,4,Male,Yes,Free,£44.20,£530.40 ,£110,7000
Pet Plan,Dog,Abyssinian Sand Terrier,4,Male,Yes,Free,£59.78,£717.36 ,£110,4000
Pet Plan,Dog,Affenpinscher,4,Male,Yes,Free,No Lifetime Cover,No Lifetime Cover,No Lifetime Cover,4000
Pet Plan,Dog,Affenpinscher,4,Male,Yes,Free,No Lifetime Cover,No Lifetime Cover,No Lifetime Cover,7000
Pet Plan,Dog,Affenpinscher,4,Male,Yes,Free,No Lifetime Cover,No Lifetime Cover,No Lifetime Cover,12000
Pet Plan,Dog,Afghan Hound,4,Male,Yes,Free,£49.02,£588.24 ,£110,4000
Pet Plan,Dog,Afghan Hound,4,Male,Yes,Free,£63.62,£763.44 ,£110,7000
Pet Plan,Dog,Afghan Hound,4,Male,Yes,Free,£80.63,£967.56 ,£110,4000
Pet Plan,Dog,Africanis,4,Male,Yes,Free,£49.02,£588.24 ,£110,4000
Pet Plan,Dog,Africanis,4,Male,Yes,Free,£63.62,£763.44 ,£110,7000
Pet Plan,Dog,Africanis,4,Male,Yes,Free,£80.63,£967.56 ,£110,4000
Pet Plan,Dog,Aidi (Atlas Sheepdog),4,Male,Yes,Free,£40.11,£481.32 ,£110,4000
Pet Plan,Dog,Aidi (Atlas Sheepdog),4,Male,Yes,Free,£52.05,£624.60 ,£110,7000
Pet Plan,Dog,Aidi (Atlas Sheepdog),4,Male,Yes,Free,£71.14,£853.68 ,£110,4000
Pet Plan,Dog,Airedale Terrier,4,Male,Yes,Free,£45.29,£543.48 ,£110,4000
Pet Plan,Dog,Airedale Terrier,4,Male,Yes,Free,£58.77,£705.24 ,£110,7000
Pet Plan,Dog,Airedale Terrier,4,Male,Yes,Free,£74.97,£899.64 ,£110,4000
