Site,Pet,Breed,Age,Gender,Neutered,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Cat,Moggie,2,Female,Yes,£5.26,£63.12,£99,1000
Animal Friends,Cat,Moggie,2,Female,Yes,£8.34,£100.08,£99,2000
Animal Friends,Cat,Moggie,2,Female,Yes,£12.35,£148.20,£99,4000
Animal Friends,Cat,Moggie,3,Female,Yes,£5.26,£63.12,£99,1000
Animal Friends,Cat,Moggie,3,Female,Yes,£8.34,£100.08,£99,2000
Animal Friends,Cat,Moggie,3,Female,Yes,£12.35,£148.20,£99,4000
Animal Friends,Cat,Moggie,4,Female,Yes,£5.26,£63.12,£99,1000
Animal Friends,Cat,Moggie,4,Female,Yes,£8.34,£100.08,£99,2000
Animal Friends,Cat,Moggie,4,Female,Yes,£12.35,£148.20,£99,4000
Animal Friends,Cat,Moggie,5,Female,Yes,£5.61,£67.32,£99,1000
Animal Friends,Cat,Moggie,5,Female,Yes,£8.51,£102.12,£99,2000
Animal Friends,Cat,Moggie,5,Female,Yes,£12.67,£152.04,£99,4000
Animal Friends,Cat,Moggie,6,Female,Yes,£5.61,£67.32,£99,1000
Animal Friends,Cat,Moggie,6,Female,Yes,£8.51,£102.12,£99,2000
Animal Friends,Cat,Moggie,6,Female,Yes,£12.67,£152.04,£99,4000
Animal Friends,Cat,Moggie,7,Female,Yes,£5.61,£67.32,£99,1000
Animal Friends,Cat,Moggie,7,Female,Yes,£8.51,£102.12,£99,2000
Animal Friends,Cat,Moggie,7,Female,Yes,£12.67,£152.04,£99,4000
Animal Friends,Cat,Moggie,8,Female,Yes,£6.09,£73.08,£99,1000
Animal Friends,Cat,Moggie,8,Female,Yes,£9.15,£109.80,£99,2000
Animal Friends,Cat,Moggie,8,Female,Yes,£13.75,£165.00,£99,4000
Animal Friends,Cat,Moggie,9,Female,Yes,£6.54,£78.48,£99,1000
Animal Friends,Cat,Moggie,9,Female,Yes,£10.30,£123.60,£99,2000
Animal Friends,Cat,Moggie,9,Female,Yes,£15.32,£183.84,£99,4000
Animal Friends,Cat,Moggie,10,Female,Yes,£7.08,£84.96,£99,1000
Animal Friends,Cat,Moggie,10,Female,Yes,£11.82,£141.84,£99,2000
Animal Friends,Cat,Moggie,10,Female,Yes,£17.58,£210.96,£99,4000
Animal Friends,Cat,Moggie,11,Female,Yes,£6.62,£79.44,£99,1000
Animal Friends,Cat,Moggie,11,Female,Yes,£11.05,£132.60,£99,2000
Animal Friends,Cat,Moggie,11,Female,Yes,£16.44,£197.28,£99,4000
Animal Friends,Cat,Moggie,12,Female,Yes,£7.80,£93.60,£99,1000
Animal Friends,Cat,Moggie,12,Female,Yes,£13.01,£156.12,£99,2000
Animal Friends,Cat,Moggie,12,Female,Yes,£19.36,£232.32,£99,4000
Animal Friends,Cat,Moggie,13,Female,Yes,£9.16,£109.92,£99,1000
Animal Friends,Cat,Moggie,13,Female,Yes,£15.59,£187.08,£99,2000
Animal Friends,Cat,Moggie,13,Female,Yes,£22.75,£273.00,£99,4000
Animal Friends,Cat,Moggie,14,Female,Yes,£10.62,£127.44,£99,1000
Animal Friends,Cat,Moggie,14,Female,Yes,£17.72,£212.64,£99,2000
Animal Friends,Cat,Moggie,14,Female,Yes,£26.36,£316.32,£99,4000
Animal Friends,Cat,Moggie,15,Female,Yes,£12.01,£144.12,£99,1000
Animal Friends,Cat,Moggie,15,Female,Yes,£20.05,£240.60,£99,2000
Animal Friends,Cat,Moggie,15,Female,Yes,£29.84,£358.08,£99,4000
Animal Friends,Cat,Domestic Shorthair,4,Female,Yes,£5.26,£63.12,£99,1000
Animal Friends,Cat,Domestic Shorthair,4,Female,Yes,£8.34,£100.08,£99,2000
Animal Friends,Cat,Domestic Shorthair,4,Female,Yes,£12.35,£148.20,£99,4000
Animal Friends,Cat,Domestic Longhair,4,Female,Yes,£5.26,£63.12,£99,1000
Animal Friends,Cat,Domestic Longhair,4,Female,Yes,£8.34,£100.08,£99,2000
Animal Friends,Cat,Domestic Longhair,4,Female,Yes,£12.35,£148.20,£99,4000
Animal Friends,Cat,Sphynx,4,Female,Yes,£8.08,£96.96,£99,1000
Animal Friends,Cat,Sphynx,4,Female,Yes,£13.20,£158.40,£99,2000
Animal Friends,Cat,Sphynx,4,Female,Yes,£19.56,£234.72,£99,4000
Animal Friends,Cat,Moggie,4,Male,No,£5.26,£63.12,£99,1000
Animal Friends,Cat,Moggie,4,Male,No,£8.34,£100.08,£99,2000
Animal Friends,Cat,Moggie,4,Male,No,£12.35,£148.20,£99,4000
Animal Friends,Cat,Moggie,4,Male,Yes,£5.26,£63.12,£99,1000
Animal Friends,Cat,Moggie,4,Male,Yes,£8.34,£100.08,£99,2000
Animal Friends,Cat,Moggie,4,Male,Yes,£12.35,£148.20,£99,4000
Animal Friends,Cat,Moggie,4,Female,No,£5.26,£63.12,£99,1000
Animal Friends,Cat,Moggie,4,Female,No,£8.34,£100.08,£99,2000
Animal Friends,Cat,Moggie,4,Female,No,£12.35,£148.20,£99,4000
