Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Dog,Belgian Malinois,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Belgian Shepherd Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Belgian Shepherd Dog (Groenendael),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Belgian Shepherd Dog (Laekenois),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Belgian Shepherd Dog (Malinois),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Belgian Shepherd Dog (Tervueren),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Belgian Shepherd Malinois,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Belgian Shepherd Tervuren,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Belgian Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Belgian Tervuren,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bergamasco Shepherd,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Berger Blanc Suisse,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bernese Mountain Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bichon Frise,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Black Russian,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Black and Tan Coonhound,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Bloodhound,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Blue Belton,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Blue Heeler,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Boar Hounds,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
