site,Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Animal Friends,Dog,Italian Spinone,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,French Bulldog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Boxer,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Great Dane,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,St. Bernard,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Dobermann,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Bernese Mountain Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Rottweiler,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Neapolitan Mastiff,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,French Mastiff,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,4,Male,No,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,4,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,4,Female,No,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,100,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,500,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,1000,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,4,Female,Yes,50,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,4,Female,Yes,100,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,4,Female,Yes,500,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,2,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,3,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,4,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,5,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,6,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,7,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,8,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,9,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,10,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,11,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,12,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,13,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,14,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Moggie,15,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,Ragdoll,4,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Cat,British Longhair,4,Female,Yes,Free,Accident & Illness - Lifetime - £1000 or more
