Site,Pet,Breed,Age,Gender,Neutered,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Appenzeller Sennenhund,4,Male,Yes,£40.73,£488.76,£99,2000
Animal Friends,Dog,Appenzeller Sennenhund,4,Male,Yes,£60.17,£722.04,£99,4000
Animal Friends,Dog,Ariegeois,4,Male,Yes,£9.67,£116.04,£99,1000
Animal Friends,Dog,Ariegeois,4,Male,Yes,£16.87,£202.44,£99,2000
Animal Friends,Dog,Ariegeois,4,Male,Yes,£24.93,£299.16,£99,4000
Animal Friends,Dog,Aussiedoodle,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Aussiedoodle,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Aussiedoodle,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Australian Bulldog,4,Male,Yes,£20.27,£243.24,£99,1000
Animal Friends,Dog,Australian Bulldog,4,Male,Yes,£35.38,£424.56,£99,2000
Animal Friends,Dog,Australian Bulldog,4,Male,Yes,£52.27,£627.24,£99,4000
Animal Friends,Dog,Australian Cattle Dog,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Australian Cattle Dog,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Australian Cattle Dog,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Australian Kelpie Sheepdog,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Australian Kelpie Sheepdog,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Australian Kelpie Sheepdog,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Australian Labradoodle,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Australian Labradoodle,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Australian Labradoodle,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Australian Shepherd,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Australian Shepherd,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Australian Shepherd,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Australian Shepherd Dog,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Australian Shepherd Dog,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Australian Shepherd Dog,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Australian Silky Terrier,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Australian Silky Terrier,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Australian Silky Terrier,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Australian Terrier,4,Male,Yes,£9.67,£116.04,£99,1000
Animal Friends,Dog,Australian Terrier,4,Male,Yes,£16.87,£202.44,£99,2000
Animal Friends,Dog,Australian Terrier,4,Male,Yes,£24.93,£299.16,£99,4000
Animal Friends,Dog,Austrian Pinscher,4,Male,Yes,£14.90,£178.80,£99,1000
Animal Friends,Dog,Austrian Pinscher,4,Male,Yes,£26.01,£312.12,£99,2000
Animal Friends,Dog,Austrian Pinscher,4,Male,Yes,£38.42,£461.04,£99,4000
Animal Friends,Dog,Aylestone Bulldog,4,Male,Yes,£20.27,£243.24,£99,1000
Animal Friends,Dog,Aylestone Bulldog,4,Male,Yes,£35.38,£424.56,£99,2000
