Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Labradoodle,4,Male,Yes,Free,£17.96,£215.52,£99,2000
Animal Friends,Dog,Labradoodle,4,Male,Yes,Free,£25.91,£310.92,£99,4000
Animal Friends,Dog,Labradoodle,4,Male,Yes,Free,£34.41,£412.92,£99,6000
Animal Friends,Dog,Labrador,4,Male,Yes,Free,£10.51,£126.12,£99,1000
Animal Friends,Dog,Labrador,4,Male,Yes,Free,£18.97,£227.64,£99,2000
Animal Friends,Dog,Labrador,4,Male,Yes,Free,£27.36,£328.32,£99,4000
Animal Friends,Dog,Labrador,4,Male,Yes,Free,£36.34,£436.08,£99,6000
Animal Friends,Dog,Labrador Retriever,4,Male,Yes,Free,£10.51,£126.12,£99,1000
Animal Friends,Dog,Labrador Retriever,4,Male,Yes,Free,£18.97,£227.64,£99,2000
Animal Friends,Dog,Labrador Retriever,4,Male,Yes,Free,£27.36,£328.32,£99,4000
Animal Friends,Dog,Labrador Retriever,4,Male,Yes,Free,£36.34,£436.08,£99,6000
Animal Friends,Dog,Lagotto Romagnolo,4,Male,Yes,Free,£7.57,£90.84,£99,1000
Animal Friends,Dog,Lagotto Romagnolo,4,Male,Yes,Free,£13.69,£164.28,£99,2000
Animal Friends,Dog,Lagotto Romagnolo,4,Male,Yes,Free,£19.73,£236.76,£99,4000
Animal Friends,Dog,Lagotto Romagnolo,4,Male,Yes,Free,£26.21,£314.52,£99,6000
Animal Friends,Dog,Lakeland Terrier,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Lakeland Terrier,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Lakeland Terrier,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Lakeland Terrier,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Lancashire Heeler,4,Male,Yes,Free,£7.57,£90.84,£99,1000
Animal Friends,Dog,Lancashire Heeler,4,Male,Yes,Free,£13.69,£164.28,£99,2000
Animal Friends,Dog,Lancashire Heeler,4,Male,Yes,Free,£19.73,£236.76,£99,4000
Animal Friends,Dog,Lancashire Heeler,4,Male,Yes,Free,£26.21,£314.52,£99,6000
Animal Friends,Dog,Landseer,4,Male,Yes,Free,£16.62,£199.44,£99,1000
Animal Friends,Dog,Landseer,4,Male,Yes,Free,£30.03,£360.36,£99,2000
Animal Friends,Dog,Landseer,4,Male,Yes,Free,£43.30,£519.60,£99,4000
Animal Friends,Dog,Landseer,4,Male,Yes,Free,£57.51,£690.12,£99,6000
