site,Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Pet Plan,Dog,Belgian Laekenois Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Belgian Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bergamasco Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Berger De Picard,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Berger De Pyrenees,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bernese Mountain Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bich-Poo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bichon A Ranian,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bichon Frise,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bichon Noir,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Biewer Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Black Labrador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Black Mouth Cur,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Black Russian,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Black and Tan Coonhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bloodhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Blue Merle Welsh Collie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bluetick Coonhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Boerboel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bohemian Pointing Griffon,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bolognese,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bolonka Zwetneya,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bolonoodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Borador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Border Collie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Border Springer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Border Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Borderpoo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bordoodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Borkie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Borzoi,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bosnian Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Boston Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bouvier Des Flandres,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Boxer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Boykin Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bracco,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Braque Francais,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Braque Saint-Germain,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Braque d',4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Auvergne,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Braque de Bourbonnais,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Briard,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,British Timber dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Brittany Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bucovina Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bugeilgi Mawr Cymreig,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bugg,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bull Boxer Staffy Bull,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bull Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
