Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,African Hairless,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,African Hairless,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,African Hairless,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,African Hairless,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Ainu-ken,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Ainu-ken,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Ainu-ken,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Ainu-ken,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Airedale,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Airedale,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Airedale,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Airedale,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Airedale Terrier,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Airedale Terrier,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Airedale Terrier,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Airedale Terrier,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Aladseer,4,Male,Yes,Free,£16.62,£199.44,£99,1000
Animal Friends,Dog,Aladseer,4,Male,Yes,Free,£30.03,£360.36,£99,2000
Animal Friends,Dog,Aladseer,4,Male,Yes,Free,£43.30,£519.60,£99,4000
Animal Friends,Dog,Aladseer,4,Male,Yes,Free,£57.51,£690.12,£99,6000
Animal Friends,Dog,Alaskan Husky,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Alaskan Husky,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Alaskan Husky,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Alaskan Husky,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Alaskan Kleekai,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Alaskan Kleekai,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Alaskan Kleekai,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Alaskan Kleekai,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Alaskan Malamute,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Alaskan Malamute,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Alaskan Malamute,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Alaskan Malamute,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Alpine Dachsbracke,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Alpine Dachsbracke,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Alpine Dachsbracke,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Alpine Dachsbracke,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,American Bulldog,4,Male,Yes,Free,£17.53,£210.36,£99,1000
Animal Friends,Dog,American Bulldog,4,Male,Yes,Free,£31.66,£379.92,£99,2000
Animal Friends,Dog,American Bulldog,4,Male,Yes,Free,£45.66,£547.92,£99,4000
Animal Friends,Dog,American Bulldog,4,Male,Yes,Free,£60.65,£727.80,£99,6000
Animal Friends,Dog,American Bullmastiff,4,Male,Yes,Free,£20.74,£248.88,£99,1000
Animal Friends,Dog,American Bullmastiff,4,Male,Yes,Free,£37.46,£449.52,£99,2000
Animal Friends,Dog,American Bullmastiff,4,Male,Yes,Free,£54.02,£648.24,£99,4000
Animal Friends,Dog,American Bullmastiff,4,Male,Yes,Free,£71.76,£861.12,£99,6000
Animal Friends,Dog,American Cocker Spaniel,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,American Cocker Spaniel,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,American Cocker Spaniel,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,American Cocker Spaniel,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,American Eskimo,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,American Eskimo,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,American Eskimo,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,American Eskimo,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,American Indian,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,American Indian,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,American Indian,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,American Indian,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,American Johnson Bulldog,4,Male,Yes,Free,£17.53,£210.36,£99,1000
Animal Friends,Dog,American Johnson Bulldog,4,Male,Yes,Free,£31.66,£379.92,£99,2000
Animal Friends,Dog,American Johnson Bulldog,4,Male,Yes,Free,£45.66,£547.92,£99,4000
Animal Friends,Dog,American Johnson Bulldog,4,Male,Yes,Free,£60.65,£727.80,£99,6000
Animal Friends,Dog,American Spitz,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,American Spitz,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,American Spitz,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,American Spitz,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,American Water Spaniel,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,American Water Spaniel,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,American Water Spaniel,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,American Water Spaniel,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Andalusian Podenco,4,Male,Yes,Free,£9.17,£110.04,£99,1000
